city,song,song_id,release_date,peak_date,peak_streams,peak_listeners,weeks_to_peak,is_still_growing,peaked_first_week
New York City,Slipping Away,1711474243,2023-11-10,2024-01-12,2,2,9.0,False,False
New York City,Kid,1711474235,2023-11-10,2024-02-02,5,2,,True,False
New York City,What Home Is,1711474234,2023-11-10,2024-02-02,4,2,,True,False
New York City,Easy,1711474241,2023-11-10,2024-02-02,2,1,,True,False
New York City,Althea,1748029276,2024-06-21,2024-06-28,22,16,1.0,False,False
New York City,That Thing,1807227251,2025-03-21,2025-03-28,9,8,1.0,False,False
New York City,Crash,1711474239,2023-11-10,2024-02-02,3,2,,True,False
New York City,All In,1711474237,2023-11-10,2024-02-02,2,3,,True,False
New York City,Breaking Me Down,1807227249,2025-04-25,2025-04-25,3,3,0.0,False,True
Philadelphia,Slipping Away,1711474243,2023-11-10,2023-11-24,1,1,2.0,False,False
Philadelphia,That Thing,1807227251,2025-03-21,2025-03-21,3,3,0.0,False,True
Philadelphia,Cycles,1711474233,2023-11-10,2023-11-24,1,1,2.0,False,False
Philadelphia,Althea,1748029276,2024-06-21,2024-06-28,15,12,1.0,False,False
Philadelphia,Crash,1711474239,2023-11-10,2023-11-24,1,1,2.0,False,False
Philadelphia,Holding On,1711474240,2023-11-10,2023-12-01,1,1,3.0,False,False
Portland,Althea,1748029276,2024-06-21,2024-06-21,30,19,0.0,False,True
Portland,That Thing,1807227251,2025-03-21,2025-03-28,5,4,1.0,False,False
Portland,Breaking Me Down,1807227249,2025-04-25,2025-05-02,1,1,1.0,False,False
Salt Lake City,Althea,1748029276,2024-06-21,2024-06-28,20,16,1.0,False,False
Salt Lake City,That Thing,1807227251,2025-03-21,2025-03-21,5,5,0.0,False,True
Salt Lake City,What Home Is,1711474234,2023-11-10,2023-11-24,2,1,2.0,False,False
San Diego,Althea,1748029276,2024-06-21,2024-06-28,5,5,1.0,False,False
San Diego,That Thing,1807227251,2025-03-21,2025-03-21,2,2,0.0,False,True
San Diego,Breaking Me Down,1807227249,2025-04-25,2025-05-09,1,1,2.0,False,False
Seoul,Althea,1748029276,2024-06-21,2024-07-19,1,1,4.0,False,False
Seoul,That Thing,1807227251,2025-03-21,2025-04-04,1,1,2.0,False,False
Sydney,Althea,1748029276,2024-06-21,2024-07-05,4,4,2.0,False,False
Sydney,That Thing,1807227251,2025-03-21,2025-03-28,3,3,1.0,False,False
Sydney,Breaking Me Down,1807227249,2025-04-25,2025-05-16,1,1,,True,False
Vancouver,That Thing,1807227251,2025-03-21,2025-03-21,6,5,0.0,False,True
Vancouver,Cycles,1711474233,2023-11-10,2023-11-10,0,0,,True,False
Vancouver,Althea,1748029276,2024-06-21,2024-06-28,16,13,1.0,False,False
West Chester,Althea,1748029276,2024-06-21,2024-07-12,4,1,3.0,False,False
Albuquerque,Slipping Away,1711474243,2023-11-10,2023-11-10,3,1,0.0,False,True
Albuquerque,What Home Is,1711474234,2023-11-10,2023-11-10,2,0,0.0,False,True
Albuquerque,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,False,True
Albuquerque,Cycles,1711474233,2023-11-10,2023-11-10,2,1,0.0,False,True
Albuquerque,Kid,1711474235,2023-11-10,2023-11-10,2,1,0.0,False,True
Albuquerque,The Way That It Was,1711474242,2023-11-10,2023-11-10,6,1,0.0,False,True
Albuquerque,Althea,1748029276,2024-06-21,2024-06-28,6,4,1.0,False,False
Albuquerque,All In,1711474237,2023-11-10,2023-11-10,1,1,0.0,False,True
Albuquerque,Holding On,1711474240,2023-11-10,2023-11-10,2,1,0.0,False,True
Albuquerque,Easy,1711474241,2023-11-10,2023-11-10,1,1,0.0,False,True
Halifax,What Home Is,1711474234,2023-11-10,2024-01-12,1,1,9.0,False,False
Halifax,Cycles,1711474233,2023-11-10,2024-01-12,1,1,9.0,False,False
Halifax,Althea,1748029276,2024-06-21,2024-07-05,3,2,2.0,False,False
Halifax,That Thing,1807227251,2025-03-21,2025-04-18,1,1,4.0,False,False
Burlington,What Home Is,1711474234,2023-11-10,2023-11-10,1,1,0.0,False,True
Burlington,That Thing,1807227251,2025-03-21,2025-03-21,2,2,0.0,False,True
Burlington,Cycles,1711474233,2023-11-10,2023-11-10,1,0,0.0,False,True
Burlington,Kid,1711474235,2023-11-10,2023-11-10,2,0,0.0,False,True
Burlington,All In,1711474237,2023-11-10,2024-01-12,1,1,9.0,False,False
Burlington,The Way That It Was,1711474242,2023-11-10,2024-01-05,1,1,8.0,False,False
Burlington,Althea,1748029276,2024-06-21,2024-06-28,5,3,,True,False
Seattle,Althea,1748029276,2024-06-21,2024-06-28,33,25,1.0,False,False
Seattle,That Thing,1807227251,2025-03-21,2025-03-21,9,7,0.0,False,True
Seattle,Cycles,1711474233,2023-11-10,2024-01-19,1,1,10.0,False,False
Seattle,Breaking Me Down,1807227249,2025-04-25,2025-05-02,2,2,1.0,False,False
Seattle,All In,1711474237,2023-11-10,2024-01-05,1,1,8.0,False,False
São Paulo,Althea,1748029276,2024-06-21,2024-07-05,3,2,2.0,False,False
São Paulo,Breaking Me Down,1807227249,2025-04-25,2025-05-16,1,0,,True,False
"Washington, D.C.",That Thing,1807227251,2025-03-21,2025-03-21,3,2,0.0,False,True
"Washington, D.C.",Althea,1748029276,2024-06-21,2024-06-28,16,12,1.0,False,False
Austin,Althea,1748029276,2024-06-21,2024-06-28,9,7,1.0,False,False
Austin,That Thing,1807227251,2025-03-21,2025-03-21,3,3,0.0,False,True
Hartford,What Home Is,1711474234,2023-11-10,2023-11-17,1,1,1.0,False,False
Hartford,That Thing,1807227251,2025-03-21,2025-04-11,5,3,3.0,False,False
Hartford,Cycles,1711474233,2023-11-10,2023-11-17,1,1,1.0,False,False
Hartford,Holding On,1711474240,2023-11-10,2023-11-17,1,1,1.0,False,False
Hartford,The Way That It Was,1711474242,2023-11-10,2023-11-17,1,1,1.0,False,False
Hartford,Althea,1748029276,2024-06-21,2024-06-28,9,7,1.0,False,False
Hartford,Kid,1711474235,2023-11-10,2023-11-17,1,1,1.0,False,False
Hartford,All In,1711474237,2023-11-10,2023-11-17,1,1,1.0,False,False
Hartford,Crash,1711474239,2023-11-10,2023-11-17,1,1,1.0,False,False
Hartford,Slipping Away,1711474243,2023-11-10,2023-11-17,1,1,1.0,False,False
Hartford,Easy,1711474241,2023-11-10,2023-11-17,1,1,1.0,False,False
Spokane,Althea,1748029276,2024-06-21,2024-06-21,2,2,0.0,False,True
Spokane,That Thing,1807227251,2025-03-21,2025-04-11,1,0,3.0,False,False
Atlanta,Althea,1748029276,2024-06-21,2024-06-28,32,25,1.0,False,False
Atlanta,That Thing,1807227251,2025-03-21,2025-03-28,14,10,1.0,False,False
Atlanta,Breaking Me Down,1807227249,2025-04-25,2025-05-02,1,1,1.0,False,False
Johannesburg,Althea,1748029276,2024-06-21,2024-07-05,3,3,2.0,False,False
Johannesburg,That Thing,1807227251,2025-03-21,2025-03-28,5,2,1.0,False,False
Los Angeles,Althea,1748029276,2024-06-21,2024-06-21,18,15,0.0,False,True
Los Angeles,That Thing,1807227251,2025-03-21,2025-03-28,7,6,1.0,False,False
Los Angeles,Cycles,1711474233,2023-11-10,2023-12-15,2,1,5.0,False,False
Los Angeles,Crash,1711474239,2023-11-10,2023-12-15,1,1,5.0,False,False
Los Angeles,The Way That It Was,1711474242,2023-11-10,2023-12-15,1,1,5.0,False,False
Los Angeles,All In,1711474237,2023-11-10,2023-12-15,1,1,5.0,False,False
Los Angeles,What Home Is,1711474234,2023-11-10,2023-12-15,1,1,5.0,False,False
Los Angeles,Easy,1711474241,2023-11-10,2023-12-15,1,1,5.0,False,False
Los Angeles,Holding On,1711474240,2023-11-10,2023-12-15,4,2,5.0,False,False
Los Angeles,Kid,1711474235,2023-11-10,2023-12-15,1,1,5.0,False,False
Madrid,Althea,1748029276,2024-06-21,2024-06-28,5,3,1.0,False,False
Miami,That Thing,1807227251,2025-03-21,2025-05-09,2,1,7.0,False,False
Miami,Cycles,1711474233,2023-11-10,2023-11-17,1,1,1.0,False,False
Miami,Althea,1748029276,2024-06-21,2024-06-21,6,5,0.0,False,True
Milwaukee,That Thing,1807227251,2025-03-21,2025-03-28,3,2,1.0,False,False
Milwaukee,Althea,1748029276,2024-06-21,2024-06-28,21,8,1.0,False,False
Minneapolis,That Thing,1807227251,2025-03-21,2025-03-21,5,5,0.0,False,True
Minneapolis,Althea,1748029276,2024-06-21,2024-07-05,15,12,2.0,False,False
Norfolk,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,False,True
Norfolk,Althea,1748029276,2024-06-21,2024-06-28,2,2,1.0,False,False
Oklahoma City,That Thing,1807227251,2025-03-21,2025-03-28,3,3,1.0,False,False
Oklahoma City,Althea,1748029276,2024-06-21,2024-06-21,5,3,0.0,False,True
Roanoke,Althea,1748029276,2024-06-21,2024-06-28,6,5,1.0,False,False
Roanoke,That Thing,1807227251,2025-03-21,2025-03-28,4,4,1.0,False,False
San Antonio,That Thing,1807227251,2025-03-21,2025-03-28,3,3,1.0,False,False
San Antonio,Althea,1748029276,2024-06-21,2024-06-28,8,5,1.0,False,False
San Antonio,Breaking Me Down,1807227249,2025-04-25,2025-05-09,2,1,2.0,False,False
The Dalles,Althea,1748029276,2024-06-21,2024-07-12,1,1,3.0,False,False
Brockton,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,False,True
Brockton,Althea,1748029276,2024-06-21,2024-06-21,1,1,0.0,False,True
Louisville,Althea,1748029276,2024-06-21,2024-06-28,4,3,1.0,False,False
Berlin,Althea,1748029276,2024-06-21,2024-07-05,2,1,2.0,False,False
Berlin,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,False,True
Berlin,Crash,1711474239,2023-11-10,2023-12-15,4,1,5.0,False,False
Berlin,All In,1711474237,2023-11-10,2023-12-08,1,1,4.0,False,False
Berlin,What Home Is,1711474234,2023-11-10,2023-12-15,1,1,5.0,False,False
Berlin,Easy,1711474241,2023-11-10,2023-12-15,1,1,5.0,False,False
Berlin,Slipping Away,1711474243,2023-11-10,2023-12-08,1,1,4.0,False,False
Berlin,Holding On,1711474240,2023-11-10,2023-12-08,4,1,4.0,False,False
Berlin,Kid,1711474235,2023-11-10,2023-12-15,1,1,5.0,False,False
Boston,Althea,1748029276,2024-06-21,2024-06-28,17,12,1.0,False,False
Boston,That Thing,1807227251,2025-03-21,2025-04-11,6,6,3.0,False,False
Boston,The Way That It Was,1711474242,2023-11-10,2023-11-10,1,1,0.0,False,True
Boston,Breaking Me Down,1807227249,2025-04-25,2025-05-02,2,2,1.0,False,False
Boston,Easy,1711474241,2023-11-10,2023-11-10,1,1,0.0,False,True
Des Moines,Althea,1748029276,2024-06-21,2024-06-28,2,2,1.0,False,False
Des Moines,That Thing,1807227251,2025-03-21,2025-04-11,2,2,3.0,False,False
San Jose,Althea,1748029276,2024-06-21,2024-06-21,17,14,0.0,False,True
San Jose,Holding On,1711474240,2023-11-10,2023-12-22,4,2,6.0,False,False
San Jose,That Thing,1807227251,2025-03-21,2025-03-28,5,5,1.0,False,False
San Jose,Cycles,1711474233,2023-11-10,2023-12-29,1,1,7.0,False,False
San Jose,What Home Is,1711474234,2023-11-10,2023-12-29,1,1,7.0,False,False
San Jose,Breaking Me Down,1807227249,2025-04-25,2025-05-02,1,1,1.0,False,False
Santa Rosa,Althea,1748029276,2024-06-21,2024-09-06,1,1,11.0,False,False
Santa Rosa,That Thing,1807227251,2025-03-21,2025-03-21,2,2,0.0,False,True
Syracuse,Althea,1748029276,2024-06-21,2024-06-21,8,7,0.0,False,True
Syracuse,That Thing,1807227251,2025-03-21,2025-03-28,2,2,1.0,False,False
Amsterdam,Althea,1748029276,2024-06-21,2024-06-28,3,3,1.0,False,False
Amsterdam,That Thing,1807227251,2025-03-21,2025-04-04,2,1,2.0,False,False
Glasgow,Althea,1748029276,2024-06-21,2024-08-02,1,1,6.0,False,False
Glasgow,That Thing,1807227251,2025-03-21,2025-04-11,2,2,3.0,False,False
Oakland,Althea,1748029276,2024-06-21,2024-06-21,1,1,0.0,False,True
Worcester,Althea,1748029276,2024-06-21,2024-06-28,6,6,1.0,False,False
Worcester,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,False,True
Worcester,Crash,1711474239,2023-11-10,2023-12-22,2,1,6.0,False,False
Worcester,The Way That It Was,1711474242,2023-11-10,2023-12-22,2,1,6.0,False,False
Worcester,All In,1711474237,2023-11-10,2023-12-22,2,1,6.0,False,False
Worcester,What Home Is,1711474234,2023-11-10,2023-12-22,2,1,6.0,False,False
Worcester,Easy,1711474241,2023-11-10,2023-12-22,1,1,6.0,False,False
Worcester,Cycles,1711474233,2023-11-10,2023-12-22,2,1,6.0,False,False
Worcester,Slipping Away,1711474243,2023-11-10,2023-12-22,1,1,6.0,False,False
Worcester,Holding On,1711474240,2023-11-10,2023-12-22,2,1,6.0,False,False
Worcester,Kid,1711474235,2023-11-10,2023-12-22,1,1,6.0,False,False
London,What Home Is,1711474234,2023-11-10,2023-11-10,1,1,0.0,False,True
London,Cycles,1711474233,2023-11-10,2023-11-10,1,1,0.0,False,True
London,That Thing,1807227251,2025-03-21,2025-04-04,5,5,2.0,False,False
London,Kid,1711474235,2023-11-10,2023-11-10,1,1,0.0,False,True
London,Althea,1748029276,2024-06-21,2024-07-05,15,11,2.0,False,False
London,The Way That It Was,1711474242,2023-11-10,2023-11-10,1,0,0.0,False,True
London,Slipping Away,1711474243,2023-11-10,2023-11-10,1,0,0.0,False,True
London,Crash,1711474239,2023-11-10,2023-11-10,1,1,0.0,False,True
London,All In,1711474237,2023-11-10,2023-11-10,1,1,0.0,False,True
London,Holding On,1711474240,2023-11-10,2023-11-10,1,1,0.0,False,True
London,Easy,1711474241,2023-11-10,2023-11-10,1,0,0.0,False,True
Indianapolis,That Thing,1807227251,2025-03-21,2025-03-28,3,3,1.0,False,False
Indianapolis,Althea,1748029276,2024-06-21,2024-07-05,7,7,2.0,False,False
Indianapolis,Holding On,1711474240,2023-11-10,2023-11-10,1,1,0.0,False,True
Indianapolis,Easy,1711474241,2023-11-10,2023-11-10,1,1,0.0,False,True
Pittsburgh,That Thing,1807227251,2025-03-21,2025-03-21,5,5,0.0,False,True
Pittsburgh,Althea,1748029276,2024-06-21,2024-07-05,4,3,2.0,False,False
Springfield,Althea,1748029276,2024-06-21,2024-06-28,2,2,1.0,False,False
Springfield,That Thing,1807227251,2025-03-21,2025-05-02,1,1,6.0,False,False
Springfield,Breaking Me Down,1807227249,2025-04-25,2025-05-02,1,1,1.0,False,False
Bratislava,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,False,False
Helsinki,Althea,1748029276,2024-06-21,2024-06-21,3,3,0.0,False,True
Helsinki,That Thing,1807227251,2025-03-21,2025-03-28,2,1,1.0,False,False
Anaheim,Althea,1748029276,2024-06-21,2024-07-12,2,2,3.0,False,False
Anaheim,That Thing,1807227251,2025-03-21,2025-04-11,1,1,3.0,False,False
Anaheim,Breaking Me Down,1807227249,2025-04-25,2025-05-02,1,1,1.0,False,False
Edmonton,That Thing,1807227251,2025-03-21,2025-03-21,2,2,0.0,False,True
Edmonton,Althea,1748029276,2024-06-21,2024-07-05,6,5,2.0,False,False
Osaka,Kid,1711474235,2023-11-10,2023-12-29,1,1,7.0,False,False
Osaka,That Thing,1807227251,2025-03-21,2025-03-21,2,2,0.0,False,True
Osaka,Althea,1748029276,2024-06-21,2024-07-19,5,5,4.0,False,False
Osaka,All In,1711474237,2023-11-10,2023-12-22,1,1,6.0,False,False
Santiago,Althea,1748029276,2024-06-21,2024-08-23,1,1,9.0,False,False
Daytona Beach,What Home Is,1711474234,2023-11-10,2023-11-10,1,1,0.0,False,True
Daytona Beach,Althea,1748029276,2024-06-21,2024-06-28,1,1,,True,False
Daytona Beach,Slipping Away,1711474243,2023-11-10,2023-11-10,1,1,0.0,False,True
Daytona Beach,That Thing,1807227251,2025-03-21,2025-03-21,2,1,0.0,False,True
Daytona Beach,Cycles,1711474233,2023-11-10,2023-11-10,1,1,0.0,False,True
Daytona Beach,Kid,1711474235,2023-11-10,2023-11-10,1,1,0.0,False,True
Daytona Beach,The Way That It Was,1711474242,2023-11-10,2023-11-10,1,1,0.0,False,True
Daytona Beach,Easy,1711474241,2023-11-10,2023-11-10,1,1,0.0,False,True
Daytona Beach,All In,1711474237,2023-11-10,2023-11-10,1,1,0.0,False,True
Daytona Beach,Crash,1711474239,2023-11-10,2023-11-10,1,1,0.0,False,True
