city,avg_weeks_to_peak,peak_streams,peak_listeners,songs_analyzed,songs_peaked_first_week,pct_peaked_first_week,songs_missing_release_date,songs_still_growing
Portland,17.4,30,19,5,1,20.0,0,0
Denver,33.8,29,38,12,3,25.0,0,0
Chicago,6.2,22,24,12,1,8.3,0,1
Seattle,22.3,20,25,7,2,28.6,0,0
Nashville,0.8,19,13,9,2,22.2,0,1
Salt Lake City,36.9,18,16,8,2,25.0,0,1
Los Angeles,14.5,18,15,10,1,10.0,0,0
Atlanta,35.8,18,25,8,1,12.5,0,0
New York City,21.8,18,16,12,2,16.7,0,0
Minneapolis,7.5,18,12,2,1,50.0,0,0
San Jose,3.7,17,14,6,1,16.7,0,0
Toronto,0.8,17,21,12,2,16.7,0,0
Vancouver,5.7,15,13,4,2,50.0,0,1
St. Louis,1.0,15,10,11,2,18.2,0,0
Jacksonville,0.7,14,5,3,1,33.3,0,0
Dallas,14.8,14,14,9,3,33.3,0,0
Beijing,3.0,12,11,1,0,0.0,0,0
Charlotte,25.0,12,15,6,1,16.7,0,0
London,9.7,11,11,11,6,54.5,0,0
Kansas City,5.6,9,10,5,1,20.0,0,0
Tokyo,5.4,9,7,11,1,9.1,0,0
Houston,0.8,9,8,10,7,70.0,0,1
Detroit,2.7,8,24,3,1,33.3,0,0
Syracuse,7.2,8,7,4,1,25.0,0,0
Birmingham,0.0,8,9,1,1,100.0,0,0
Phoenix,42.4,8,7,8,2,25.0,0,0
Tampa,1.5,8,5,2,1,50.0,0,0
Cape Coral,10.0,7,2,4,0,0.0,0,0
Omaha,20.7,7,5,3,1,33.3,0,0
Frankfurt Am Main,11.0,7,6,3,1,33.3,0,0
Shanghai,3.0,7,5,1,0,0.0,0,0
Paris,6.1,7,7,11,1,9.1,0,0
New Orleans,17.3,6,10,8,2,25.0,0,1
Orlando,7.2,6,8,10,1,10.0,0,0
Rochester,0.6,6,7,6,2,33.3,0,1
Boston,18.4,6,12,8,2,25.0,0,0
Miami,0.5,6,5,3,1,33.3,0,1
Albuquerque,0.4,6,4,10,9,90.0,0,0
San Francisco,1.5,6,4,2,1,50.0,0,0
Sacramento,8.7,6,11,10,1,10.0,0,0
Cincinnati,0.5,5,8,3,1,33.3,0,1
