city,avg_weeks_to_peak,peak_streams,peak_listeners,songs_analyzed,songs_peaked_first_week,pct_peaked_first_week,songs_missing_release_date,songs_still_growing
Hamburg,0.0,3,3,2,1,50.0,0,0
Bridgeport,,3,3,6,0,0.0,0,1
Barnstable,1.5,3,2,2,0,0.0,0,0
Auckland,2.5,3,2,2,0,0.0,0,0
South Bend,0.0,2,1,3,3,100.0,0,0
Daytona Beach,0.0,2,1,11,10,90.9,0,1
Ludington,,2,1,1,0,0.0,0,1
South Kingstown,,2,0,1,0,0.0,0,1
St. Catharines,,2,0,1,0,0.0,0,1
Springfield,2.7,2,2,4,0,0.0,0,0
Norfolk,0.5,2,2,3,1,33.3,0,0
Spokane,1.5,2,2,3,1,33.3,0,0
North Myrtle Beach,,2,1,2,0,0.0,0,0
Waxahachie,,2,1,1,0,0.0,0,1
Port Clinton,,2,1,1,0,0.0,0,0
Allentown,0.5,2,2,2,1,50.0,0,0
Yaroslavl,,2,1,1,0,0.0,0,0
Adelaide,4.0,2,2,2,0,0.0,0,0
Dortmund,,2,1,1,0,0.0,0,1
Oxnard,,2,2,1,0,0.0,0,1
Grand Forks,,2,1,1,0,0.0,0,1
Samsun,,2,1,1,0,0.0,0,1
Glasgow,4.5,2,2,2,0,0.0,0,0
Santa Rosa,5.5,2,2,2,1,50.0,0,0
Des Moines,2.0,2,2,3,0,0.0,0,0
Madison,0.0,2,2,2,2,100.0,0,0
Christchurch,1.0,2,2,2,0,0.0,0,1
Fayetteville,0.0,2,1,1,1,100.0,0,0
Anaheim,2.3,2,2,3,0,0.0,0,0
Yuba City,,2,2,1,0,0.0,0,1
Staunton,,2,2,1,0,0.0,0,1
Saratoga Springs,,2,2,1,0,0.0,0,1
Cathedral City,,2,2,1,0,0.0,0,1
Lexington-Fayette,1.0,2,1,2,0,0.0,0,1
Ottawa,4.1,2,1,10,1,10.0,0,0
Topeka,4.1,2,1,10,0,0.0,0,0
Knoxville,2.5,2,2,2,0,0.0,0,0
Munich,1.0,2,2,1,0,0.0,0,0
Buenos Aires,2.0,2,2,1,0,0.0,0,0
Concord,0.0,2,2,1,1,100.0,0,0
Perth,1.0,2,2,2,0,0.0,0,0
Hendersonville,1.0,2,1,1,0,0.0,0,0
Kaohsiung,1.5,2,1,2,0,0.0,0,0
Durham,3.0,2,1,2,0,0.0,0,1
Cape Town,1.5,2,2,2,1,50.0,0,0
Kelowna,2.0,2,2,2,0,0.0,0,0
Lansing,1.0,2,2,2,0,0.0,0,0
Provo,3.0,2,2,2,0,0.0,0,1
Missoula,3.0,2,2,2,0,0.0,0,1
Waterford,,2,1,1,0,0.0,0,1
Brattleboro,,2,2,1,0,0.0,0,1
Urbana,,2,1,1,0,0.0,0,1
The Villages,4.0,2,0,1,0,0.0,0,0
Singapore,1.0,2,2,1,0,0.0,0,0
Kuwait City,2.0,2,1,1,0,0.0,0,0
Jackson,1.5,2,1,2,1,50.0,0,0
Hamilton,2.0,2,1,2,0,0.0,0,1
Lebanon,1.0,2,1,1,0,0.0,0,0
Red Deer,5.0,2,1,2,0,0.0,0,0
Providence,0.0,2,2,1,1,100.0,0,0
Riyadh,1.0,2,1,1,0,0.0,0,0
Courtenay,2.0,2,1,1,0,0.0,0,0
Kyiv,1.5,2,2,3,1,33.3,0,0
Elkhart,0.0,2,1,1,1,100.0,0,0
Bangkok,3.5,2,2,2,0,0.0,0,0
Marseille,2.0,2,2,1,0,0.0,0,0
Vienna,0.0,2,2,2,2,100.0,0,0
New Haven,3.5,2,2,2,0,0.0,0,0
Nanjing,3.0,2,2,1,0,0.0,0,0
Athens,2.0,2,1,1,0,0.0,0,0
San Juan,3.0,2,2,1,0,0.0,0,0
Bellingham,0.5,2,1,2,1,50.0,0,0
Ann Arbor,0.5,2,2,2,1,50.0,0,0
Elgin,6.0,2,1,1,0,0.0,0,0
Hanoi,3.0,2,1,2,0,0.0,0,0
Columbia,1.0,2,1,2,1,50.0,0,0
Dayton,0.5,2,2,2,1,50.0,0,0
Düsseldorf,0.5,2,1,2,1,50.0,0,0
Fremont,0.5,2,1,2,1,50.0,0,0
Lincoln,0.0,2,1,2,1,50.0,0,1
Hong Kong,0.2,2,2,5,3,60.0,0,1
Matane,,2,1,1,0,0.0,0,0
Saskatoon,0.0,2,1,2,1,50.0,0,0
Tel Aviv,0.0,2,2,5,1,20.0,0,0
The Woodlands,0.0,2,1,3,2,66.7,0,1
Durango,0.0,2,1,2,2,100.0,0,0
Mumbai,3.0,2,2,2,0,0.0,0,0
Penticton,0.0,2,2,1,1,100.0,0,0
Baton Rouge,2.5,2,2,2,0,0.0,0,0
Saumur,,1,0,1,0,0.0,0,0
Virginia Beach,,1,1,1,0,0.0,0,1
Kingston,,1,1,2,0,0.0,0,0
Orangeville,5.0,1,1,1,0,0.0,0,0
Baldwin,7.0,1,1,1,0,0.0,0,0
High Point,7.0,1,1,1,0,0.0,0,0
Oak Island,,1,1,1,0,0.0,0,1
North Adams,,1,1,1,0,0.0,0,1
New Richmond,,1,1,1,0,0.0,0,1
Milton Keynes,,1,0,1,0,0.0,0,1
Medford,,1,1,1,0,0.0,0,1
Luxembourg,,1,1,1,0,0.0,0,1
Laramie,,1,1,1,0,0.0,0,1
Kamloops,,1,1,1,0,0.0,0,1
Hsinchu,,1,1,1,0,0.0,0,1
Hermosillo,,1,1,1,0,0.0,0,1
Hannover,,1,1,1,0,0.0,0,1
Grinnell,,1,1,1,0,0.0,0,1
Goochland,,1,1,1,0,0.0,0,1
Gniezno,,1,1,1,0,0.0,0,1
Genève,,1,0,1,0,0.0,0,1
Fort Smith,,1,1,1,0,0.0,0,1
Venice,0.0,1,1,3,3,100.0,0,0
Sandpoint,0.0,1,1,1,1,100.0,0,0
Rome,,1,1,1,0,0.0,0,0
Rodez,0.0,1,1,1,1,100.0,0,0
Rock Hill,0.0,1,1,1,1,100.0,0,0
Regina,0.0,1,1,2,1,50.0,0,1
Redding,6.0,1,1,2,0,0.0,0,0
Prince George,0.0,1,1,1,1,100.0,0,0
Portsmouth,0.0,1,1,1,1,100.0,0,0
Oshawa,0.0,1,1,1,1,100.0,0,0
Olean,0.0,1,1,1,1,100.0,0,0
Newport News,4.5,1,1,2,1,50.0,0,0
Monterrey,0.0,1,1,2,2,100.0,0,0
Lynchburg,1.0,1,0,1,0,0.0,0,0
Greenville,2.0,1,1,3,0,0.0,0,0
Wausau,0.0,1,1,1,1,100.0,0,0
Kalispell,0.0,1,1,2,1,50.0,0,1
Johnstown,0.0,1,1,2,2,100.0,0,0
Helena,0.0,1,1,2,1,50.0,0,0
Havelock,0.0,1,1,1,1,100.0,0,0
Glenwood Springs,0.0,1,1,1,1,100.0,0,0
Fukuoka,0.0,1,1,1,1,100.0,0,0
Eugene,0.0,1,1,1,1,100.0,0,0
Eau Claire,0.0,1,1,2,1,50.0,0,0
Jerusalem,,1,1,1,0,0.0,0,0
Stockton,,1,1,1,0,0.0,0,1
Lafayette,0.0,1,1,2,1,50.0,0,1
Hammond,1.7,1,1,3,1,33.3,0,0
Winston-Salem,0.0,1,1,1,1,100.0,0,0
Wenatchee,0.0,1,1,1,1,100.0,0,0
Moncton,,1,1,1,0,0.0,0,1
Lake Jackson,,1,1,1,0,0.0,0,0
Cadillac,0.0,1,1,1,1,100.0,0,0
Bogotá,0.0,1,1,1,1,100.0,0,0
Bay Harbor,0.0,1,0,1,1,100.0,0,0
Ashland,0.0,1,1,2,1,50.0,0,1
Winkler,2.0,1,1,2,0,0.0,0,0
Easton,,1,1,1,0,0.0,0,0
Montrose,,1,1,3,0,0.0,0,1
Wheeling,,1,1,1,0,0.0,0,0
Chongqing,,1,1,1,0,0.0,0,0
Castle Rock,4.0,1,1,10,0,0.0,0,1
Cebu City,,1,1,1,0,0.0,0,0
Prague,4.5,1,1,2,0,0.0,0,0
Little Rock,0.5,1,1,2,1,50.0,0,0
Linz,1.5,1,1,2,1,50.0,0,0
Lancaster,1.0,1,1,2,1,50.0,0,0
Istanbul,3.0,1,1,1,0,0.0,0,0
Hangzhou,3.0,1,1,1,0,0.0,0,0
Guayaquil,3.0,1,1,1,0,0.0,0,0
Guadalajara,3.0,1,1,1,0,0.0,0,0
Edison,2.0,1,1,2,0,0.0,0,0
Dale City,1.0,1,1,1,0,0.0,0,0
Coos Bay,3.0,1,1,1,0,0.0,0,0
Busan,3.0,1,1,1,0,0.0,0,0
Bristol,1.0,1,1,1,0,0.0,0,0
Bozeman,0.0,1,1,1,1,100.0,0,0
Auburn,0.0,1,1,1,1,100.0,0,0
Albany,0.0,1,1,1,1,100.0,0,0
Aberdeen,3.0,1,1,1,0,0.0,0,0
Chon Buri,0.0,1,1,1,1,100.0,0,0
Cardiff,1.5,1,1,2,1,50.0,0,0
Canton,0.0,1,1,1,1,100.0,0,0
Uvalde,1.0,1,1,1,0,0.0,0,0
Timmins,1.0,1,1,1,0,0.0,0,0
Tijuana,4.0,1,1,2,0,0.0,0,0
Thành Phố Uông Bí,1.0,1,1,1,0,0.0,0,0
Taichung,4.0,1,1,2,0,0.0,0,0
Stuttgart,1.0,1,1,2,0,0.0,0,1
Sheridan,1.0,1,1,1,0,0.0,0,0
San Luis Obispo,3.0,1,1,2,0,0.0,0,1
Poznań,2.0,1,1,2,0,0.0,0,0
Port Saint Lucie,1.0,1,1,1,0,0.0,0,0
Olomouc,3.0,1,1,1,0,0.0,0,0
Newbury,1.0,1,1,1,0,0.0,0,0
Muscatine,3.0,1,1,1,0,0.0,0,0
Moscow,6.0,1,1,1,0,0.0,0,0
Kuala Lumpur,0.0,1,1,1,1,100.0,0,0
Janesville,3.0,1,1,1,0,0.0,0,0
Brunswick,3.0,1,1,2,1,50.0,0,0
Boone,2.0,1,1,1,0,0.0,0,0
Bay City,2.0,1,1,1,0,0.0,0,0
Astoria,2.0,1,1,1,0,0.0,0,0
Aspen,0.0,1,1,1,1,100.0,0,0
Anderson,2.0,1,0,1,0,0.0,0,0
Alexandria,2.0,1,1,1,0,0.0,0,0
Zagreb,3.0,1,1,1,0,0.0,0,0
Ystad,3.0,1,1,1,0,0.0,0,0
Standish,3.0,1,1,1,0,0.0,0,0
Spartanburg,0.0,1,1,1,1,100.0,0,0
Sofia,3.0,1,1,1,0,0.0,0,0
Rockford,3.0,1,1,1,0,0.0,0,0
Riga,3.0,1,1,1,0,0.0,0,0
Reno,0.0,1,1,1,1,100.0,0,0
Oslo,3.0,1,1,1,0,0.0,0,0
Lyon,2.0,1,1,2,0,0.0,0,0
Linhai,2.0,1,1,1,0,0.0,0,0
Lewes,2.0,1,1,1,0,0.0,0,0
Kraków,0.0,1,1,1,1,100.0,0,0
Jinan,2.0,1,1,1,0,0.0,0,0
Huntersville,2.0,1,1,1,0,0.0,0,0
Harrisburg,1.0,1,1,1,0,0.0,0,0
Greater Sudbury,2.0,1,1,1,0,0.0,0,0
Granby,2.0,1,1,1,0,0.0,0,0
Fairmont,3.0,1,0,1,0,0.0,0,0
Evansville,2.0,1,1,1,0,0.0,0,0
El Paso,2.0,1,1,1,0,0.0,0,0
East Pensacola Heights,2.0,1,1,1,0,0.0,0,0
Deyang,2.0,1,1,1,0,0.0,0,0
Copenhagen,2.0,1,1,1,0,0.0,0,0
Colombo,2.0,1,1,1,0,0.0,0,0
Sturgis,4.0,1,1,1,0,0.0,0,0
Ames,4.0,1,1,1,0,0.0,0,0
Oldenburg,1.0,1,1,2,0,0.0,0,1
Oak Harbor,1.0,1,1,2,0,0.0,0,0
Newmarket,1.0,1,1,2,0,0.0,0,0
Montgomery,1.0,1,1,2,0,0.0,0,1
Minato,1.0,1,1,1,0,0.0,0,0
Memphis,0.7,1,1,3,1,33.3,0,0
Los Mochis,1.0,1,1,1,0,0.0,0,0
Leuven,1.0,1,1,1,0,0.0,0,0
Leesburg,0.2,1,1,7,5,71.4,0,1
Lake Butler,1.0,1,1,1,0,0.0,0,0
Georgetown,5.0,1,1,1,0,0.0,0,0
Málaga,,1,1,1,0,0.0,0,0
Nagu,2.0,1,1,1,0,0.0,0,0
Manistee,2.0,1,1,1,0,0.0,0,0
Trois-Rivières,,1,1,1,0,0.0,0,1
Tembisa,,1,1,1,0,0.0,0,1
Swindon,,1,1,1,0,0.0,0,1
Sioux Falls,0.0,1,1,1,1,100.0,0,0
Shijiazhuang,,1,1,1,0,0.0,0,1
Saint Joseph,,1,1,1,0,0.0,0,1
Pottstown,,1,1,1,0,0.0,0,1
Palembang,,1,1,1,0,0.0,0,1
Osage Beach,,1,1,1,0,0.0,0,1
Winter Haven,,1,1,1,0,0.0,0,0
Brussels,,1,1,2,0,0.0,0,2
Waldorf,5.0,1,1,1,0,0.0,0,0
Victorville,2.5,1,1,2,1,50.0,0,0
Nanaimo,5.0,1,1,1,0,0.0,0,0
Bunbury,3.5,1,1,2,0,0.0,0,0
Selma,7.0,1,1,1,0,0.0,0,0
Saint Cloud,,1,1,1,0,0.0,0,0
Perm,2.0,1,1,1,0,0.0,0,0
Middletown,2.0,1,1,1,0,0.0,0,0
Cheonan,2.0,1,1,1,0,0.0,0,0
Carmel,3.0,1,1,2,0,0.0,0,1
Katowice,11.0,1,1,3,0,0.0,0,1
Nagasaki,,1,0,1,0,0.0,0,0
Salvador,,1,1,1,0,0.0,0,0
Brandon,,1,1,1,0,0.0,0,1
Bowie,1.0,1,1,1,0,0.0,0,0
Atlantic City,1.0,1,1,1,0,0.0,0,0
Amery,1.0,1,1,1,0,0.0,0,0
Allegan,1.0,1,1,1,0,0.0,0,0
Wuhan,,1,1,1,0,0.0,0,1
West Torrington,,1,1,1,0,0.0,0,1
Manila,8.0,1,1,3,0,0.0,0,0
Joliette,1.0,1,1,1,0,0.0,0,0
Gordon,3.0,1,1,1,0,0.0,0,0
Gastonia,2.5,1,1,2,1,50.0,0,0
Fort Wayne,1.0,1,1,1,0,0.0,0,0
Edinburgh,5.0,1,1,1,0,0.0,0,0
Dublin,5.5,1,1,2,0,0.0,0,0
Crawfordsville,1.0,1,1,1,0,0.0,0,0
Cookeville,0.0,1,1,1,1,100.0,0,0
Circleville,1.0,1,1,1,0,0.0,0,0
Chowchilla,1.0,1,1,1,0,0.0,0,0
Charleroi,1.0,1,1,1,0,0.0,0,0
Pécs,2.0,1,1,1,0,0.0,0,0
Morgantown,2.0,1,1,1,0,0.0,0,0
Luziânia,,1,1,1,0,0.0,0,0
Belfast,2.0,1,1,1,0,0.0,0,0
Fort Madison,3.0,1,1,1,0,0.0,0,0
Elche,3.0,1,1,1,0,0.0,0,0
Netanya,,1,1,1,0,0.0,0,0
Tauranga,4.0,1,0,1,0,0.0,0,0
Santa Fe,4.0,1,1,2,0,0.0,0,1
Rexburg,4.0,1,1,1,0,0.0,0,0
Quimper,4.0,1,1,1,0,0.0,0,0
Queensbury,4.0,1,1,1,0,0.0,0,0
Lewiston,4.0,1,1,1,0,0.0,0,0
Johnson City,4.0,1,1,2,0,0.0,0,1
Fort Lauderdale,4.0,1,1,2,0,0.0,0,1
Bonanza,4.0,1,1,1,0,0.0,0,0
Bologna,4.0,1,1,1,0,0.0,0,0
Blacksburg,4.0,1,1,1,0,0.0,0,0
Bismarck,4.0,1,1,2,0,0.0,0,0
Biel/Bienne,4.0,1,1,1,0,0.0,0,0
Milan,0.0,1,1,1,1,100.0,0,0
Bend,0.0,1,1,2,1,50.0,0,0
Bordeaux,1.0,1,1,1,0,0.0,0,0
Bemidji,1.0,1,1,1,0,0.0,0,0
Bayonne,1.0,1,1,1,0,0.0,0,0
Bakersfield,1.0,1,1,1,0,0.0,0,0
Sarnia,3.0,1,1,1,0,0.0,0,0
Rennes,3.0,1,1,1,0,0.0,0,0
Palma,3.0,1,1,1,0,0.0,0,0
Newburgh,3.0,1,1,1,0,0.0,0,0
Marshalltown,3.0,1,1,1,0,0.0,0,0
Malmö,3.0,1,1,1,0,0.0,0,0
Loveland,3.0,1,1,1,0,0.0,0,0
Leeds,3.0,1,1,2,0,0.0,0,1
Heerenveen,3.0,1,1,1,0,0.0,0,0
Frederick,3.0,1,1,2,0,0.0,0,0
Dubai,,1,1,2,0,0.0,0,1
Corsicana,,1,1,1,0,0.0,0,1
Clarksburg,,1,1,1,0,0.0,0,1
Cheyenne,,1,1,1,0,0.0,0,1
Chesapeake Beach,,1,1,1,0,0.0,0,1
Chengdu,0.0,1,1,1,1,100.0,0,0
Charlotte Amalie,,1,1,1,0,0.0,0,1
Cable,,1,1,1,0,0.0,0,1
Bucharest,,1,1,1,0,0.0,0,1
Ōita,3.0,1,1,1,0,0.0,0,0
Wellington,3.0,1,1,1,0,0.0,0,0
Toms River,3.0,1,1,2,0,0.0,0,1
Thousand Oaks,3.0,1,1,2,0,0.0,0,1
Sherbrooke,3.0,1,1,1,0,0.0,0,0
Haifa,,1,1,8,0,0.0,0,0
Porto,,1,0,2,0,0.0,0,0
Saint George's,0.0,1,1,9,9,100.0,0,0
Santiago,9.0,1,1,10,0,0.0,0,0
Ithaca,,1,1,1,0,0.0,0,0
Bratislava,1.0,1,1,2,0,0.0,0,0
Ioánnina,,1,1,1,0,0.0,0,1
Indiana,,1,1,1,0,0.0,0,1
Hickory,,1,1,1,0,0.0,0,1
Harrisonburg,,1,1,1,0,0.0,0,1
Green Bay,0.0,1,1,1,1,100.0,0,0
Greeley,,1,1,1,0,0.0,0,1
Great Falls,0.0,1,1,1,1,100.0,0,0
Grand Rapids,,1,1,1,0,0.0,0,1
Gillette,,1,1,1,0,0.0,0,1
Fortuna,,1,1,1,0,0.0,0,1
Elkhorn,,1,1,1,0,0.0,0,1
Duluth,,1,1,1,0,0.0,0,1
Sheboygan,,1,1,1,0,0.0,0,0
Oakland,0.0,1,1,1,1,100.0,0,0
Brockton,0.0,1,1,3,2,66.7,0,0
Hagerstown,,1,0,1,0,0.0,0,1
Conway,,1,0,1,0,0.0,0,1
Fredericton,6.0,1,1,1,0,0.0,0,0
Nanning,,1,1,1,0,0.0,0,1
Morehead,,1,1,1,0,0.0,0,1
Mitchell,,1,1,1,0,0.0,0,1
Marquette,,1,1,1,0,0.0,0,1
Lockport,,1,1,1,0,0.0,0,1
Ljubljana,,1,1,1,0,0.0,0,1
Jefferson City,,1,1,1,0,0.0,0,1
Elmira,,1,1,1,0,0.0,0,1
Dnipro,,1,1,1,0,0.0,0,1
Clarksville,,1,1,1,0,0.0,0,1
Butler,,1,1,1,0,0.0,0,1
Brentwood,,1,1,1,0,0.0,0,1
Binghamton,,1,1,1,0,0.0,0,1
Bengaluru,,1,1,1,0,0.0,0,1
Bedford,,1,1,1,0,0.0,0,1
Beaver Dam,,1,1,1,0,0.0,0,1
Beaumont,,1,1,1,0,0.0,0,1
Battle Creek,,1,1,1,0,0.0,0,1
Bangor,,1,1,1,0,0.0,0,1
Kennewick,0.0,1,1,1,1,100.0,0,0
Ironville,,1,0,1,0,0.0,0,1
Seoul,3.0,1,1,2,0,0.0,0,0
The Dalles,3.0,1,1,2,0,0.0,0,0
Revelstoke,7.0,1,1,1,0,0.0,0,0
Brasília,,1,1,3,0,0.0,0,1
Stockholm,,1,1,1,0,0.0,0,0
Vilnius,,1,1,1,0,0.0,0,1
Vernon,,1,1,1,0,0.0,0,1
Trenton,,1,1,1,0,0.0,0,1
Terrace,,1,1,1,0,0.0,0,1
Summerville,,1,1,1,0,0.0,0,1
Santa Cruz,,1,1,1,0,0.0,0,1
Saint Helena,,1,1,1,0,0.0,0,1
Saint George,,1,1,1,0,0.0,0,1
Rumford,,1,1,1,0,0.0,0,1
Rouses Point,,1,1,1,0,0.0,0,1
Quezon City,,1,1,1,0,0.0,0,1
Pretoria,,1,1,1,0,0.0,0,1
Parksville,,1,1,1,0,0.0,0,1
Waukesha,0.0,1,1,1,1,100.0,0,0
Watertown,0.0,1,1,1,1,100.0,0,0
Tucson,0.0,1,1,1,1,100.0,0,0
Traverse City,0.0,1,1,1,1,100.0,0,0
Tallinn,0.0,1,1,2,1,50.0,0,1
Stonecrest,0.0,1,1,1,1,100.0,0,0
Star Valley Ranch,0.0,1,1,1,1,100.0,0,0
Sapporo,0.0,1,1,1,1,100.0,0,0
Köln,,1,1,1,0,0.0,0,0
Fond Du Lac,,1,1,1,0,0.0,0,0
Durban,,1,1,1,0,0.0,0,0
Valencia,,1,1,1,0,0.0,0,0
Doncaster,,1,1,1,0,0.0,0,0
Lake Charles,8.0,1,1,1,0,0.0,0,0
Lincoln City,6.0,1,1,1,0,0.0,0,0
Florence,6.0,1,1,1,0,0.0,0,0
Owatonna,,0,1,0,0,0.0,0,0
Panamá,,0,1,0,0,0.0,0,0
Reedley,,0,1,0,0,0.0,0,0
Mexicali,,0,0,0,0,0.0,0,0
Danbury,,0,0,2,0,0.0,0,2
Waterloo,,0,1,0,0,0.0,0,0
Winder,,0,1,0,0,0.0,0,0
