city,song,song_id,release_date,peak_date,peak_streams,peak_listeners,weeks_to_peak,weeks_to_adopt,is_still_growing,peaked_first_week,total_streams
Burlington,All In,1711474237,2023-11-10,2024-01-12,1,1,9.0,9.0,False,False,1
Burlington,The Way That It Was,1711474242,2023-11-10,2024-01-05,1,1,8.0,8.0,False,False,1
Burlington,Althea,1748029276,2024-06-21,2024-06-28,5,3,,1.0,True,False,5
Seattle,Althea,1748029276,2024-06-21,2024-06-28,33,25,1.0,0.0,False,False,96
Seattle,That Thing,1807227251,2025-03-21,2025-03-21,9,7,0.0,0.0,False,True,18
Seattle,Cycles,1711474233,2023-11-10,2024-01-19,1,1,10.0,10.0,False,False,1
Seattle,Breaking Me Down,1807227249,2025-04-25,2025-05-02,2,2,1.0,1.0,False,False,2
Seattle,All In,1711474237,2023-11-10,2024-01-05,1,1,8.0,8.0,False,False,1
São Paulo,Althea,1748029276,2024-06-21,2024-07-05,3,2,2.0,2.0,False,False,4
São Paulo,Breaking Me Down,1807227249,2025-04-25,2025-05-16,1,0,,3.0,True,False,1
"Washington, D.C.",That Thing,1807227251,2025-03-21,2025-03-21,3,2,0.0,0.0,False,True,6
"Washington, D.C.",Althea,1748029276,2024-06-21,2024-06-28,16,12,1.0,0.0,False,False,34
Austin,Althea,1748029276,2024-06-21,2024-06-28,9,7,1.0,0.0,False,False,27
Austin,That Thing,1807227251,2025-03-21,2025-03-21,3,3,0.0,0.0,False,True,8
Hartford,What Home Is,1711474234,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,3
Hartford,That Thing,1807227251,2025-03-21,2025-04-11,5,3,3.0,0.0,False,False,11
Hartford,Cycles,1711474233,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,2
Hartford,Holding On,1711474240,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
Hartford,The Way That It Was,1711474242,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
Hartford,Althea,1748029276,2024-06-21,2024-06-28,9,7,1.0,0.0,False,False,22
Hartford,Kid,1711474235,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,2
Hartford,All In,1711474237,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
Hartford,Crash,1711474239,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
Hartford,Slipping Away,1711474243,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
Hartford,Easy,1711474241,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
Spokane,Althea,1748029276,2024-06-21,2024-06-21,2,2,0.0,0.0,False,True,10
Spokane,That Thing,1807227251,2025-03-21,2025-04-11,1,0,3.0,3.0,False,False,1
Atlanta,Althea,1748029276,2024-06-21,2024-06-28,32,25,1.0,0.0,False,False,81
Atlanta,That Thing,1807227251,2025-03-21,2025-03-28,14,10,1.0,0.0,False,False,29
Atlanta,Breaking Me Down,1807227249,2025-04-25,2025-05-02,1,1,1.0,1.0,False,False,1
Johannesburg,Althea,1748029276,2024-06-21,2024-07-05,3,3,2.0,0.0,False,False,7
Johannesburg,That Thing,1807227251,2025-03-21,2025-03-28,5,2,1.0,1.0,False,False,6
Los Angeles,Althea,1748029276,2024-06-21,2024-06-21,18,15,0.0,0.0,False,True,58
Los Angeles,That Thing,1807227251,2025-03-21,2025-03-28,7,6,1.0,0.0,False,False,15
Los Angeles,Cycles,1711474233,2023-11-10,2023-12-15,2,1,5.0,5.0,False,False,2
Los Angeles,Crash,1711474239,2023-11-10,2023-12-15,1,1,5.0,5.0,False,False,1
Los Angeles,The Way That It Was,1711474242,2023-11-10,2023-12-15,1,1,5.0,5.0,False,False,1
Los Angeles,All In,1711474237,2023-11-10,2023-12-15,1,1,5.0,5.0,False,False,1
Los Angeles,What Home Is,1711474234,2023-11-10,2023-12-15,1,1,5.0,5.0,False,False,1
Los Angeles,Easy,1711474241,2023-11-10,2023-12-15,1,1,5.0,5.0,False,False,1
Los Angeles,Holding On,1711474240,2023-11-10,2023-12-15,4,2,5.0,5.0,False,False,5
Los Angeles,Kid,1711474235,2023-11-10,2023-12-15,1,1,5.0,5.0,False,False,1
Madrid,Althea,1748029276,2024-06-21,2024-06-28,5,3,1.0,0.0,False,False,14
Miami,That Thing,1807227251,2025-03-21,2025-05-09,2,1,7.0,0.0,False,False,7
Miami,Cycles,1711474233,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
Miami,Althea,1748029276,2024-06-21,2024-06-21,6,5,0.0,0.0,False,True,14
Milwaukee,That Thing,1807227251,2025-03-21,2025-03-28,3,2,1.0,0.0,False,False,5
Milwaukee,Althea,1748029276,2024-06-21,2024-06-28,21,8,1.0,0.0,False,False,44
Minneapolis,That Thing,1807227251,2025-03-21,2025-03-21,5,5,0.0,0.0,False,True,11
Minneapolis,Althea,1748029276,2024-06-21,2024-07-05,15,12,2.0,0.0,False,False,42
Norfolk,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,0.0,False,True,2
Norfolk,Althea,1748029276,2024-06-21,2024-06-28,2,2,1.0,1.0,False,False,3
Oklahoma City,That Thing,1807227251,2025-03-21,2025-03-28,3,3,1.0,0.0,False,False,4
Oklahoma City,Althea,1748029276,2024-06-21,2024-06-21,5,3,0.0,0.0,False,True,9
Roanoke,Althea,1748029276,2024-06-21,2024-06-28,6,5,1.0,0.0,False,False,11
Roanoke,That Thing,1807227251,2025-03-21,2025-03-28,4,4,1.0,1.0,False,False,6
San Antonio,That Thing,1807227251,2025-03-21,2025-03-28,3,3,1.0,0.0,False,False,6
San Antonio,Althea,1748029276,2024-06-21,2024-06-28,8,5,1.0,0.0,False,False,16
San Antonio,Breaking Me Down,1807227249,2025-04-25,2025-05-09,2,1,2.0,2.0,False,False,2
The Dalles,Althea,1748029276,2024-06-21,2024-07-12,1,1,3.0,3.0,False,False,1
Brockton,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,0.0,False,True,2
Brockton,Althea,1748029276,2024-06-21,2024-06-21,1,1,0.0,0.0,False,True,3
Louisville,Althea,1748029276,2024-06-21,2024-06-28,4,3,1.0,0.0,False,False,8
Berlin,Althea,1748029276,2024-06-21,2024-07-05,2,1,2.0,2.0,False,False,3
Berlin,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,0.0,False,True,1
Berlin,Crash,1711474239,2023-11-10,2023-12-15,4,1,5.0,5.0,False,False,4
Berlin,All In,1711474237,2023-11-10,2023-12-08,1,1,4.0,4.0,False,False,1
Berlin,What Home Is,1711474234,2023-11-10,2023-12-15,1,1,5.0,5.0,False,False,1
Berlin,Easy,1711474241,2023-11-10,2023-12-15,1,1,5.0,5.0,False,False,1
Berlin,Slipping Away,1711474243,2023-11-10,2023-12-08,1,1,4.0,4.0,False,False,1
Berlin,Holding On,1711474240,2023-11-10,2023-12-08,4,1,4.0,4.0,False,False,8
Berlin,Kid,1711474235,2023-11-10,2023-12-15,1,1,5.0,5.0,False,False,1
Boston,Althea,1748029276,2024-06-21,2024-06-28,17,12,1.0,0.0,False,False,29
Boston,That Thing,1807227251,2025-03-21,2025-04-11,6,6,3.0,0.0,False,False,23
Boston,The Way That It Was,1711474242,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Boston,Breaking Me Down,1807227249,2025-04-25,2025-05-02,2,2,1.0,1.0,False,False,3
Boston,Easy,1711474241,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Des Moines,Althea,1748029276,2024-06-21,2024-06-28,2,2,1.0,1.0,False,False,6
Des Moines,That Thing,1807227251,2025-03-21,2025-04-11,2,2,3.0,3.0,False,False,2
San Jose,Althea,1748029276,2024-06-21,2024-06-21,17,14,0.0,0.0,False,True,53
San Jose,Holding On,1711474240,2023-11-10,2023-12-22,4,2,6.0,5.0,False,False,11
San Jose,That Thing,1807227251,2025-03-21,2025-03-28,5,5,1.0,0.0,False,False,15
San Jose,Cycles,1711474233,2023-11-10,2023-12-29,1,1,7.0,5.0,False,False,2
San Jose,What Home Is,1711474234,2023-11-10,2023-12-29,1,1,7.0,7.0,False,False,1
San Jose,Breaking Me Down,1807227249,2025-04-25,2025-05-02,1,1,1.0,1.0,False,False,2
Santa Rosa,Althea,1748029276,2024-06-21,2024-09-06,1,1,11.0,0.0,False,False,2
Santa Rosa,That Thing,1807227251,2025-03-21,2025-03-21,2,2,0.0,0.0,False,True,2
Syracuse,Althea,1748029276,2024-06-21,2024-06-21,8,7,0.0,0.0,False,True,21
Syracuse,That Thing,1807227251,2025-03-21,2025-03-28,2,2,1.0,0.0,False,False,3
Amsterdam,Althea,1748029276,2024-06-21,2024-06-28,3,3,1.0,0.0,False,False,9
Amsterdam,That Thing,1807227251,2025-03-21,2025-04-04,2,1,2.0,1.0,False,False,3
Glasgow,Althea,1748029276,2024-06-21,2024-08-02,1,1,6.0,6.0,False,False,2
Glasgow,That Thing,1807227251,2025-03-21,2025-04-11,2,2,3.0,1.0,False,False,4
Oakland,Althea,1748029276,2024-06-21,2024-06-21,1,1,0.0,0.0,False,True,3
Worcester,Althea,1748029276,2024-06-21,2024-06-28,6,6,1.0,0.0,False,False,16
Worcester,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,0.0,False,True,3
Worcester,Crash,1711474239,2023-11-10,2023-12-22,2,1,6.0,6.0,False,False,2
Worcester,The Way That It Was,1711474242,2023-11-10,2023-12-22,2,1,6.0,6.0,False,False,2
Worcester,All In,1711474237,2023-11-10,2023-12-22,2,1,6.0,6.0,False,False,2
Worcester,What Home Is,1711474234,2023-11-10,2023-12-22,2,1,6.0,6.0,False,False,2
Worcester,Easy,1711474241,2023-11-10,2023-12-22,1,1,6.0,6.0,False,False,1
Worcester,Cycles,1711474233,2023-11-10,2023-12-22,2,1,6.0,6.0,False,False,2
Worcester,Slipping Away,1711474243,2023-11-10,2023-12-22,1,1,6.0,6.0,False,False,1
Worcester,Holding On,1711474240,2023-11-10,2023-12-22,2,1,6.0,6.0,False,False,2
Worcester,Kid,1711474235,2023-11-10,2023-12-22,1,1,6.0,6.0,False,False,1
London,What Home Is,1711474234,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
