city,song,song_id,release_date,peak_date,peak_streams,peak_listeners,weeks_to_peak,is_still_growing,peaked_first_week
Adelaide,Althea,1748029276,2024-06-21,2024-07-12,2,0,3.0,False,False
Adelaide,That Thing,1807227251,2025-03-21,2025-04-25,1,0,5.0,False,False
Allentown,Althea,1748029276,2024-06-21,2024-06-21,2,0,0.0,False,True
Allentown,That Thing,1807227251,2025-03-21,2025-03-28,2,0,1.0,False,False
Birmingham,Althea,1748029276,2024-06-21,2024-06-21,8,0,0.0,False,True
Brasília,The Way That It Was,1711474242,2023-11-10,2024-09-27,1,0,46.0,False,False
Brasília,Althea,1748029276,2024-06-21,2025-04-11,1,0,42.0,False,False
Charlotte,Althea,1748029276,2024-06-21,2024-06-21,12,0,0.0,False,True
Charlotte,The Way That It Was,1711474242,2023-11-10,2024-09-13,1,0,44.0,False,False
Charlotte,All In,1711474237,2023-11-10,2024-08-09,1,0,39.0,False,False
Charlotte,That Thing,1807227251,2025-03-21,2025-03-28,6,0,1.0,False,False
Charlotte,Slipping Away,1711474243,2023-11-10,2024-09-13,1,0,44.0,False,False
Charlotte,Holding On,1711474240,2023-11-10,2024-04-12,1,0,22.0,False,False
Cincinnati,Althea,1748029276,2024-06-21,2024-06-21,5,0,0.0,False,True
Cincinnati,That Thing,1807227251,2025-03-21,2025-03-28,2,0,1.0,False,False
Cincinnati,All In,1711474237,2023-11-10,2024-03-01,1,0,,True,False
Dallas,Cycles,1711474233,2023-11-10,2023-11-10,2,0,0.0,False,True
Dallas,That Thing,1807227251,2025-03-21,2025-03-21,6,0,0.0,False,True
Dallas,Althea,1748029276,2024-06-21,2024-06-21,14,0,0.0,False,True
Dallas,Holding On,1711474240,2023-11-10,2024-05-24,1,0,28.0,False,False
Dallas,Crash,1711474239,2023-11-10,2024-04-05,1,0,21.0,False,False
Dallas,All In,1711474237,2023-11-10,2024-01-19,1,0,10.0,False,False
Dallas,The Way That It Was,1711474242,2023-11-10,2024-04-05,1,0,21.0,False,False
Dallas,Slipping Away,1711474243,2023-11-10,2024-06-21,1,0,32.0,False,False
