City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,0,581,-,20240621,Althea,1748029276,listeners
Denver,0,26,-,20240621,Althea,1748029276,listeners
Portland,0,19,-,20240621,Althea,1748029276,listeners
Chicago,0,17,-,20240621,Althea,1748029276,listeners
Toronto,0,16,-,20240621,Althea,1748029276,listeners
Atlanta,0,15,-,20240621,Althea,1748029276,listeners
Los Angeles,0,15,-,20240621,Althea,1748029276,listeners
Dallas,0,14,-,20240621,Althea,1748029276,listeners
New York City,0,14,-,20240621,Althea,1748029276,listeners
Nashville,0,13,-,20240621,Althea,1748029276,listeners
San Jose,0,13,-,20240621,Althea,1748029276,listeners
Seattle,0,13,-,20240621,Althea,1748029276,listeners
Vancouver,0,13,-,20240621,Althea,1748029276,listeners
Charlotte,0,12,-,20240621,Althea,1748029276,listeners
St. Louis,0,10,-,20240621,Althea,1748029276,listeners
Birmingham,0,8,-,20240621,Althea,1748029276,listeners
Kansas City,0,8,-,20240621,Althea,1748029276,listeners
Minneapolis,0,8,-,20240621,Althea,1748029276,listeners
Detroit,0,7,-,20240621,Althea,1748029276,listeners
Salt Lake City,0,7,-,20240621,Althea,1748029276,listeners
Frankfurt Am Main,0,6,-,20240621,Althea,1748029276,listeners
Houston,0,6,-,20240621,Althea,1748029276,listeners
Phoenix,0,6,-,20240621,Althea,1748029276,listeners
Baltimore,0,5,-,20240621,Althea,1748029276,listeners
Cincinnati,0,5,-,20240621,Althea,1748029276,listeners
Columbus,0,5,-,20240621,Althea,1748029276,listeners
Jacksonville,0,5,-,20240621,Althea,1748029276,listeners
London,0,5,-,20240621,Althea,1748029276,listeners
Miami,0,5,-,20240621,Althea,1748029276,listeners
Omaha,0,5,-,20240621,Althea,1748029276,listeners
Syracuse,0,5,-,20240621,Althea,1748029276,listeners
Tokyo,0,5,-,20240621,Althea,1748029276,listeners
Boulder,0,4,-,20240621,Althea,1748029276,listeners
Calgary,0,4,-,20240621,Althea,1748029276,listeners
Orlando,0,4,-,20240621,Althea,1748029276,listeners
Paris,0,4,-,20240621,Althea,1748029276,listeners
Sacramento,0,4,-,20240621,Althea,1748029276,listeners
San Francisco,0,4,-,20240621,Althea,1748029276,listeners
"Washington, D.C.",0,4,-,20240621,Althea,1748029276,listeners
Boston,0,3,-,20240621,Althea,1748029276,listeners
Budapest,0,3,-,20240621,Althea,1748029276,listeners
Edmonton,0,3,-,20240621,Althea,1748029276,listeners
Fort Collins,0,3,-,20240621,Althea,1748029276,listeners
Hamburg,0,3,-,20240621,Althea,1748029276,listeners
Helsinki,0,3,-,20240621,Althea,1748029276,listeners
Honolulu,0,3,-,20240621,Althea,1748029276,listeners
Indianapolis,0,3,-,20240621,Althea,1748029276,listeners
Milwaukee,0,3,-,20240621,Althea,1748029276,listeners
Oklahoma City,0,3,-,20240621,Althea,1748029276,listeners
Riverside,0,3,-,20240621,Althea,1748029276,listeners
San Antonio,0,3,-,20240621,Althea,1748029276,listeners
Sydney,0,3,-,20240621,Althea,1748029276,listeners
Tacoma,0,3,-,20240621,Althea,1748029276,listeners
Taipei,0,3,-,20240621,Althea,1748029276,listeners
Wichita,0,3,-,20240621,Althea,1748029276,listeners
Worcester,0,3,-,20240621,Althea,1748029276,listeners
Allentown,0,2,-,20240621,Althea,1748029276,listeners
Anchorage,0,2,-,20240621,Althea,1748029276,listeners
Beijing,0,2,-,20240621,Althea,1748029276,listeners
Brisbane,0,2,-,20240621,Althea,1748029276,listeners
Cape Town,0,2,-,20240621,Althea,1748029276,listeners
Concord,0,2,-,20240621,Althea,1748029276,listeners
Fresno,0,2,-,20240621,Althea,1748029276,listeners
Hartford,0,2,-,20240621,Althea,1748029276,listeners
Johannesburg,0,2,-,20240621,Althea,1748029276,listeners
Kyiv,0,2,-,20240621,Althea,1748029276,listeners
Las Vegas,0,2,-,20240621,Althea,1748029276,listeners
Louisville,0,2,-,20240621,Althea,1748029276,listeners
Madison,0,2,-,20240621,Althea,1748029276,listeners
Missoula,0,2,-,20240621,Althea,1748029276,listeners
Montréal,0,2,-,20240621,Althea,1748029276,listeners
New Orleans,0,2,-,20240621,Althea,1748029276,listeners
Oxnard,0,2,-,20240621,Althea,1748029276,listeners
Philadelphia,0,2,-,20240621,Althea,1748029276,listeners
Provo,0,2,-,20240621,Althea,1748029276,listeners
Roanoke,0,2,-,20240621,Althea,1748029276,listeners
Spokane,0,2,-,20240621,Althea,1748029276,listeners
Tel Aviv,0,2,-,20240621,Althea,1748029276,listeners
Toledo,0,2,-,20240621,Althea,1748029276,listeners
Tulsa,0,2,-,20240621,Althea,1748029276,listeners
Vienna,0,2,-,20240621,Althea,1748029276,listeners
Wilmington,0,2,-,20240621,Althea,1748029276,listeners
Adelaide,0,1,-,20240621,Althea,1748029276,listeners
Akron,0,1,-,20240621,Althea,1748029276,listeners
Albany,0,1,-,20240621,Althea,1748029276,listeners
Albuquerque,0,1,-,20240621,Althea,1748029276,listeners
Amsterdam,0,1,-,20240621,Althea,1748029276,listeners
Ashland,0,1,-,20240621,Althea,1748029276,listeners
Aspen,0,1,-,20240621,Althea,1748029276,listeners
Auburn,0,1,-,20240621,Althea,1748029276,listeners
Austin,0,1,-,20240621,Althea,1748029276,listeners
Bangor,0,1,-,20240621,Althea,1748029276,listeners
Battle Creek,0,1,-,20240621,Althea,1748029276,listeners
Beaumont,0,1,-,20240621,Althea,1748029276,listeners
Beaver Dam,0,1,-,20240621,Althea,1748029276,listeners
Bedford,0,1,-,20240621,Althea,1748029276,listeners
Bengaluru,0,1,-,20240621,Althea,1748029276,listeners
Binghamton,0,1,-,20240621,Althea,1748029276,listeners
Boise,0,1,-,20240621,Althea,1748029276,listeners
Bozeman,0,1,-,20240621,Althea,1748029276,listeners
Brentwood,0,1,-,20240621,Althea,1748029276,listeners
Bridgewater,0,1,-,20240621,Althea,1748029276,listeners
Brockton,0,1,-,20240621,Althea,1748029276,listeners
Brunswick,0,1,-,20240621,Althea,1748029276,listeners
Brussels,0,1,-,20240621,Althea,1748029276,listeners
Buffalo,0,1,-,20240621,Althea,1748029276,listeners
Butler,0,1,-,20240621,Althea,1748029276,listeners
Charleston,0,1,-,20240621,Althea,1748029276,listeners
Chengdu,0,1,-,20240621,Althea,1748029276,listeners
Clarksville,0,1,-,20240621,Althea,1748029276,listeners
Cleveland,0,1,-,20240621,Althea,1748029276,listeners
Dnipro,0,1,-,20240621,Althea,1748029276,listeners
Dortmund,0,1,-,20240621,Althea,1748029276,listeners
Durango,0,1,-,20240621,Althea,1748029276,listeners
Düsseldorf,0,1,-,20240621,Althea,1748029276,listeners
Elmira,0,1,-,20240621,Althea,1748029276,listeners
Fayetteville,0,1,-,20240621,Althea,1748029276,listeners
Fort Lauderdale,0,1,-,20240621,Althea,1748029276,listeners
Fort Smith,0,1,-,20240621,Althea,1748029276,listeners
Fort Worth,0,1,-,20240621,Althea,1748029276,listeners
Gastonia,0,1,-,20240621,Althea,1748029276,listeners
Gniezno,0,1,-,20240621,Althea,1748029276,listeners
Goochland,0,1,-,20240621,Althea,1748029276,listeners
Grand Forks,0,1,-,20240621,Althea,1748029276,listeners
Great Falls,0,1,-,20240621,Althea,1748029276,listeners
Green Bay,0,1,-,20240621,Althea,1748029276,listeners
Grinnell,0,1,-,20240621,Althea,1748029276,listeners
Hannover,0,1,-,20240621,Althea,1748029276,listeners
Hermosillo,0,1,-,20240621,Althea,1748029276,listeners
Hsinchu,0,1,-,20240621,Althea,1748029276,listeners
Jackson,0,1,-,20240621,Althea,1748029276,listeners
Johnson City,0,1,-,20240621,Althea,1748029276,listeners
Johnstown,0,1,-,20240621,Althea,1748029276,listeners
Kalispell,0,1,-,20240621,Althea,1748029276,listeners
Kamloops,0,1,-,20240621,Althea,1748029276,listeners
Kennewick,0,1,-,20240621,Althea,1748029276,listeners
Kraków,0,1,-,20240621,Althea,1748029276,listeners
Kuala Lumpur,0,1,-,20240621,Althea,1748029276,listeners
Laramie,0,1,-,20240621,Althea,1748029276,listeners
Lausanne,0,1,-,20240621,Althea,1748029276,listeners
Lima,0,1,-,20240621,Althea,1748029276,listeners
Little Rock,0,1,-,20240621,Althea,1748029276,listeners
Luxembourg,0,1,-,20240621,Althea,1748029276,listeners
Madrid,0,1,-,20240621,Althea,1748029276,listeners
Medford,0,1,-,20240621,Althea,1748029276,listeners
Memphis,0,1,-,20240621,Althea,1748029276,listeners
Mexico City,0,1,-,20240621,Althea,1748029276,listeners
Milan,0,1,-,20240621,Althea,1748029276,listeners
Mililani Town,0,1,-,20240621,Althea,1748029276,listeners
Moncton,0,1,-,20240621,Althea,1748029276,listeners
Monterrey,0,1,-,20240621,Althea,1748029276,listeners
Montgomery,0,1,-,20240621,Althea,1748029276,listeners
Montrose,0,1,-,20240621,Althea,1748029276,listeners
Nanjing,0,1,-,20240621,Althea,1748029276,listeners
New Richmond,0,1,-,20240621,Althea,1748029276,listeners
North Adams,0,1,-,20240621,Althea,1748029276,listeners
Oak Island,0,1,-,20240621,Althea,1748029276,listeners
Oakland,0,1,-,20240621,Althea,1748029276,listeners
Ogden,0,1,-,20240621,Althea,1748029276,listeners
Oldenburg,0,1,-,20240621,Althea,1748029276,listeners
Ottawa,0,1,-,20240621,Althea,1748029276,listeners
Parksville,0,1,-,20240621,Althea,1748029276,listeners
Pittsburgh,0,1,-,20240621,Althea,1748029276,listeners
Portland,0,1,-,20240621,Althea,1748029276,listeners
Prague,0,1,-,20240621,Althea,1748029276,listeners
Pretoria,0,1,-,20240621,Althea,1748029276,listeners
Providence,0,1,-,20240621,Althea,1748029276,listeners
Quezon City,0,1,-,20240621,Althea,1748029276,listeners
Reno,0,1,-,20240621,Althea,1748029276,listeners
Richmond,0,1,-,20240621,Althea,1748029276,listeners
Rochester,0,1,-,20240621,Althea,1748029276,listeners
Rochester,0,1,-,20240621,Althea,1748029276,listeners
