City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,11,17,+55%,20241227,Althea,1748029276,listeners
Atlanta,0,1,-,20241227,Althea,1748029276,listeners
Charlotte,0,1,-,20241227,Althea,1748029276,listeners
Cincinnati,0,1,-,20241227,Althea,1748029276,listeners
Johannesburg,0,1,-,20241227,Althea,1748029276,listeners
Los Angeles,1,1,0%,20241227,Althea,1748029276,listeners
Madrid,0,1,-,20241227,Althea,1748029276,listeners
Miami,0,1,-,20241227,Althea,1748029276,listeners
Milwaukee,0,1,-,20241227,Althea,1748029276,listeners
Minneapolis,0,1,-,20241227,Althea,1748029276,listeners
Norfolk,0,1,-,20241227,Althea,1748029276,listeners
Oklahoma City,0,1,-,20241227,Althea,1748029276,listeners
Portland,0,1,-,20241227,Althea,1748029276,listeners
Roanoke,0,1,-,20241227,Althea,1748029276,listeners
San Antonio,0,1,-,20241227,Althea,1748029276,listeners
Sheboygan,0,1,-,20241227,Althea,1748029276,listeners
Sydney,0,1,-,20241227,Althea,1748029276,listeners
Akron,1,0,-100%,20241227,Althea,1748029276,listeners
Boston,1,0,-100%,20241227,Althea,1748029276,listeners
Detroit,1,0,-100%,20241227,Althea,1748029276,listeners
Fort Worth,1,0,-100%,20241227,Althea,1748029276,listeners
Helena,1,0,-100%,20241227,Althea,1748029276,listeners
Las Vegas,1,0,-100%,20241227,Althea,1748029276,listeners
Seattle,2,0,-100%,20241227,Althea,1748029276,listeners
Taipei,1,0,-100%,20241227,Althea,1748029276,listeners
Tel Aviv,1,0,-100%,20241227,Althea,1748029276,listeners
